family,n,objective_mode,split,instance_count,topological_required_count,topological_required_rate,metric_surplus_count,metric_surplus_rate,mandatory_exception_count,mandatory_exception_rate,exception_count_tie_count,exception_count_tie_rate,mean_minimum_feasible_q,mean_optimal_q_min,mean_metric_surplus_min,lower_bound_exact_count,lower_bound_exact_rate
convex_control,8,euc_2d,validation,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20,1.0
convex_control,8,euclidean_raw,validation,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20,1.0
convex_control,10,euc_2d,validation,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20,1.0
convex_control,10,euclidean_raw,validation,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20,1.0
convex_control,12,euc_2d,validation,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20,1.0
convex_control,12,euclidean_raw,validation,20,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,20,1.0
corridor,8,euc_2d,validation,23,0,0.0,0,0.0,0,0.0,6,0.2608695652173913,0.0,0.0,0.0,23,1.0
corridor,8,euclidean_raw,validation,23,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,23,1.0
corridor,10,euc_2d,validation,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,18,1.0
corridor,10,euclidean_raw,validation,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,18,1.0
corridor,12,euc_2d,validation,19,0,0.0,6,0.3157894736842105,6,0.3157894736842105,1,0.05263157894736842,0.0,0.3157894736842105,0.3157894736842105,19,1.0
corridor,12,euclidean_raw,validation,19,0,0.0,6,0.3157894736842105,6,0.3157894736842105,0,0.0,0.0,0.3684210526315789,0.3684210526315789,19,1.0
hoey5,5,euc_2d,fixture,1,0,0.0,1,1.0,1,1.0,0,0.0,0.0,1.0,1.0,1,1.0
hoey5,5,euclidean_raw,fixture,1,0,0.0,1,1.0,1,1.0,0,0.0,0.0,1.0,1.0,1,1.0
hoey5_jitter,5,euc_2d,validation,180,0,0.0,153,0.85,153,0.85,3,0.016666666666666666,0.0,0.85,0.85,180,1.0
hoey5_jitter,5,euclidean_raw,validation,180,0,0.0,154,0.8555555555555555,154,0.8555555555555555,0,0.0,0.0,0.8555555555555555,0.8555555555555555,180,1.0
ring_interior,8,euc_2d,validation,20,0,0.0,1,0.05,1,0.05,0,0.0,0.0,0.05,0.05,20,1.0
ring_interior,8,euclidean_raw,validation,20,0,0.0,1,0.05,1,0.05,0,0.0,0.0,0.05,0.05,20,1.0
ring_interior,10,euc_2d,validation,20,0,0.0,4,0.2,4,0.2,0,0.0,0.0,0.2,0.2,20,1.0
ring_interior,10,euclidean_raw,validation,20,0,0.0,4,0.2,4,0.2,0,0.0,0.0,0.2,0.2,20,1.0
ring_interior,12,euc_2d,validation,20,0,0.0,4,0.2,4,0.2,0,0.0,0.0,0.2,0.2,20,1.0
ring_interior,12,euclidean_raw,validation,20,0,0.0,4,0.2,4,0.2,0,0.0,0.0,0.2,0.2,20,1.0
two_cluster,8,euc_2d,validation,17,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,17,1.0
two_cluster,8,euclidean_raw,validation,17,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,17,1.0
two_cluster,10,euc_2d,validation,22,0,0.0,2,0.09090909090909091,2,0.09090909090909091,0,0.0,0.0,0.09090909090909091,0.09090909090909091,22,1.0
two_cluster,10,euclidean_raw,validation,22,0,0.0,2,0.09090909090909091,2,0.09090909090909091,0,0.0,0.0,0.09090909090909091,0.09090909090909091,22,1.0
two_cluster,12,euc_2d,validation,21,0,0.0,1,0.047619047619047616,1,0.047619047619047616,0,0.0,0.0,0.047619047619047616,0.047619047619047616,21,1.0
two_cluster,12,euclidean_raw,validation,21,0,0.0,1,0.047619047619047616,1,0.047619047619047616,0,0.0,0.0,0.047619047619047616,0.047619047619047616,21,1.0
uniform,8,euc_2d,validation,40,0,0.0,1,0.025,1,0.025,0,0.0,0.0,0.025,0.025,40,1.0
uniform,8,euclidean_raw,validation,40,0,0.0,1,0.025,1,0.025,0,0.0,0.0,0.025,0.025,40,1.0
uniform,10,euc_2d,validation,40,0,0.0,4,0.1,4,0.1,0,0.0,0.0,0.1,0.1,40,1.0
uniform,10,euclidean_raw,validation,40,0,0.0,4,0.1,4,0.1,0,0.0,0.0,0.1,0.1,40,1.0
uniform,12,euc_2d,validation,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,40,1.0
uniform,12,euclidean_raw,validation,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,40,1.0
