family,objective_mode,split,instance_count,topological_required_count,topological_required_rate,metric_surplus_count,metric_surplus_rate,mandatory_exception_count,mandatory_exception_rate,exception_count_tie_count,exception_count_tie_rate,mean_minimum_feasible_q,mean_optimal_q_min,mean_metric_surplus_min,lower_bound_exact_count,lower_bound_exact_rate
convex_control,euc_2d,validation,60,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,60,1.0
convex_control,euclidean_raw,validation,60,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,60,1.0
corridor,euc_2d,validation,60,0,0.0,6,0.1,6,0.1,7,0.11666666666666667,0.0,0.1,0.1,60,1.0
corridor,euclidean_raw,validation,60,0,0.0,6,0.1,6,0.1,0,0.0,0.0,0.11666666666666667,0.11666666666666667,60,1.0
hoey5,euc_2d,fixture,1,0,0.0,1,1.0,1,1.0,0,0.0,0.0,1.0,1.0,1,1.0
hoey5,euclidean_raw,fixture,1,0,0.0,1,1.0,1,1.0,0,0.0,0.0,1.0,1.0,1,1.0
hoey5_jitter,euc_2d,validation,180,0,0.0,153,0.85,153,0.85,3,0.016666666666666666,0.0,0.85,0.85,180,1.0
hoey5_jitter,euclidean_raw,validation,180,0,0.0,154,0.8555555555555555,154,0.8555555555555555,0,0.0,0.0,0.8555555555555555,0.8555555555555555,180,1.0
ring_interior,euc_2d,validation,60,0,0.0,9,0.15,9,0.15,0,0.0,0.0,0.15,0.15,60,1.0
ring_interior,euclidean_raw,validation,60,0,0.0,9,0.15,9,0.15,0,0.0,0.0,0.15,0.15,60,1.0
two_cluster,euc_2d,validation,60,0,0.0,3,0.05,3,0.05,0,0.0,0.0,0.05,0.05,60,1.0
two_cluster,euclidean_raw,validation,60,0,0.0,3,0.05,3,0.05,0,0.0,0.0,0.05,0.05,60,1.0
uniform,euc_2d,validation,120,0,0.0,5,0.041666666666666664,5,0.041666666666666664,0,0.0,0.0,0.041666666666666664,0.041666666666666664,120,1.0
uniform,euclidean_raw,validation,120,0,0.0,5,0.041666666666666664,5,0.041666666666666664,0,0.0,0.0,0.041666666666666664,0.041666666666666664,120,1.0
