family,n,objective_mode,split,instance_count,threshold_applicable_count,threshold_applicable_rate,topological_q0_infeasible_count,topological_q0_infeasible_rate,topological_q0_infeasible_wilson95_low,topological_q0_infeasible_wilson95_high,mandatory_exception_count,mandatory_exception_rate,mandatory_threshold_applicable_count,exact_q1_baseline_defeat_count,exact_q1_baseline_defeat_rate,exact_q1_baseline_defeat_wilson95_low,exact_q1_baseline_defeat_wilson95_high,exact_q1_negative_count,exact_q1_negative_rate,exact_q1_negative_wilson95_low,exact_q1_negative_wilson95_high,exact_q1_tie_count,exact_q1_tie_rate,exact_q1_tie_wilson95_low,exact_q1_tie_wilson95_high,mandatory_exact_q1_defeat_count,mandatory_exact_q1_defeat_rate,mandatory_exact_q1_defeat_wilson95_low,mandatory_exact_q1_defeat_wilson95_high,mandatory_safe_positive_count,mandatory_safe_positive_rate,mandatory_safe_positive_wilson95_low,mandatory_safe_positive_wilson95_high,mandatory_safe_positive_basic_one_tree_count,mandatory_safe_positive_basic_one_tree_rate,safe_positive_count,safe_positive_basic_one_tree_count,safe_positive_rate,safe_positive_wilson95_low,safe_positive_wilson95_high,safe_negative_count,safe_negative_basic_one_tree_count,safe_negative_rate,safe_negative_wilson95_low,safe_negative_wilson95_high,safe_negative_of_exact_negative_count,safe_negative_recall_of_exact_negative,basic_one_tree_negative_recall_of_exact_negative,safe_negative_recall_wilson95_low,safe_negative_recall_wilson95_high,certified_negative_recall_of_exact_q1_negative,certified_negative_recall_of_exact_q1_negative_wilson95_low,certified_negative_recall_of_exact_q1_negative_wilson95_high,ambiguous_count,ambiguous_rate,safe_decision_coverage,ambiguous_wilson95_low,ambiguous_wilson95_high,certified_positive_recall_of_exact_q1,certified_positive_recall_of_exact_q1_baseline_defeat,basic_one_tree_positive_recall_of_exact_q1,certified_positive_recall_wilson95_low,certified_positive_recall_wilson95_high,certified_positive_precision,q1_global_explanation_count,q1_exclusive_explanation_count,mandatory_q1_global_explained_count,mandatory_q1_global_ceiling_recall,mandatory_q1_global_rate,mandatory_q1_global_ceiling_wilson95_low,mandatory_q1_global_ceiling_wilson95_high,mandatory_q1_exclusive_explained_count,mandatory_q1_exclusive_ceiling_recall,mandatory_q1_exclusive_rate,mandatory_q1_exclusive_ceiling_wilson95_low,mandatory_q1_exclusive_ceiling_wilson95_high,mandatory_q1_shared_explained_count,mandatory_q1_shared_ceiling_recall,mandatory_q1_shared_rate,mandatory_q1_shared_ceiling_wilson95_low,mandatory_q1_shared_ceiling_wilson95_high,mandatory_metric_q_ge_2_count,mandatory_metric_q_ge_2_rate,mandatory_metric_q_ge_2_wilson95_low,mandatory_metric_q_ge_2_wilson95_high,mandatory_metric_q_ge_2_one_sided95_upper,mandatory_topological_q0_infeasible_count,mandatory_topological_q0_infeasible_rate,mandatory_topological_q0_infeasible_wilson95_low,mandatory_topological_q0_infeasible_wilson95_high,q1_global_without_strict_baseline_defeat_count,unique_q1_minimizer_certificate_count,unique_q1_minimizer_certificate_rate,safe_q1_candidate_count,safe_q1_candidate_basic_one_tree_count,safe_q1_candidate_reduction_rate,safe_q1_candidate_basic_reduction_rate,nonbaseline_edge_total,exact_q1_support_edge_count,exact_q1_support_edge_fraction,mean_hull_size,mean_interior_count,mean_interior_fraction,mean_onion_depth,edge_micro_exact_beneficial_count,edge_micro_certified_beneficial_count,edge_micro_possible_beneficial_count,edge_micro_certified_recall,edge_micro_possible_precision,edge_micro_exact_nonbeneficial_count,edge_micro_exact_tie_count,edge_micro_certified_nonbeneficial_count,edge_micro_certified_negative_recall,edge_micro_feasible_exact_negative_count,edge_micro_feasible_certified_negative_count,edge_micro_feasible_certified_negative_recall,edge_macro_negative_instance_count,edge_macro_feasible_negative_instance_count,edge_macro_mean_certified_recall,edge_macro_mean_possible_precision,edge_macro_mean_certified_negative_recall,edge_macro_mean_feasible_certified_negative_recall,q1_support_hit_rate_at_1,mean_q1_support_recall_at_1,q1_support_micro_recovered_at_1,q1_support_micro_recall_at_1,q1_support_hit_rate_at_3,mean_q1_support_recall_at_3,q1_support_micro_recovered_at_3,q1_support_micro_recall_at_3,q1_support_hit_rate_at_5,mean_q1_support_recall_at_5,q1_support_micro_recovered_at_5,q1_support_micro_recall_at_5
convex_control,8,euc_2d,validation,30,30,1.0,0,0.0,0.0,0.11351339317396876,0,0.0,0,0,0.0,0.0,0.11351339317396876,30,1.0,0.8864866068260312,0.9999999999999999,0,0.0,0.0,0.11351339317396876,0,,,,0,,,,0,,0,0,0.0,0.0,0.11351339317396876,30,28,1.0,0.8864866068260312,0.9999999999999999,30,1.0,0.9333333333333333,0.8864866068260312,0.9999999999999999,1.0,0.8864866068260312,0.9999999999999999,0,0.0,1.0,0.0,0.11351339317396876,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,25,0.8333333333333334,35,67,0.9222222222222223,0.8511111111111112,450,32,0.07111111111111111,8.0,0.0,0.0,1.0,0,0,0,,,450,0,450,1.0,276,276,1.0,30,30,,,1.0,1.0,1.0,0.9666666666666667,30,0.9375,1.0,1.0,32,1.0,1.0,1.0,32,1.0
convex_control,8,euclidean_raw,validation,30,30,1.0,0,0.0,0.0,0.11351339317396876,0,0.0,0,0,0.0,0.0,0.11351339317396876,30,1.0,0.8864866068260312,0.9999999999999999,0,0.0,0.0,0.11351339317396876,0,,,,0,,,,0,,0,0,0.0,0.0,0.11351339317396876,30,28,1.0,0.8864866068260312,0.9999999999999999,30,1.0,0.9333333333333333,0.8864866068260312,0.9999999999999999,1.0,0.8864866068260312,0.9999999999999999,0,0.0,1.0,0.0,0.11351339317396876,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,27,0.9,33,67,0.9266666666666666,0.8511111111111112,450,30,0.06666666666666667,8.0,0.0,0.0,1.0,0,0,0,,,450,0,450,1.0,276,276,1.0,30,30,,,1.0,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0
convex_control,10,euc_2d,validation,30,30,1.0,0,0.0,0.0,0.11351339317396876,0,0.0,0,0,0.0,0.0,0.11351339317396876,30,1.0,0.8864866068260312,0.9999999999999999,0,0.0,0.0,0.11351339317396876,0,,,,0,,,,0,,0,0,0.0,0.0,0.11351339317396876,30,30,1.0,0.8864866068260312,0.9999999999999999,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.8864866068260312,0.9999999999999999,0,0.0,1.0,0.0,0.11351339317396876,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,22,0.7333333333333333,40,71,0.9523809523809523,0.9154761904761904,840,30,0.03571428571428571,10.0,0.0,0.0,1.0,0,0,0,,,840,0,840,1.0,423,423,1.0,30,30,,,1.0,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0
convex_control,10,euclidean_raw,validation,30,30,1.0,0,0.0,0.0,0.11351339317396876,0,0.0,0,0,0.0,0.0,0.11351339317396876,30,1.0,0.8864866068260312,0.9999999999999999,0,0.0,0.0,0.11351339317396876,0,,,,0,,,,0,,0,0,0.0,0.0,0.11351339317396876,30,30,1.0,0.8864866068260312,0.9999999999999999,30,1.0,1.0,0.8864866068260312,0.9999999999999999,1.0,0.8864866068260312,0.9999999999999999,0,0.0,1.0,0.0,0.11351339317396876,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,22,0.7333333333333333,40,71,0.9523809523809523,0.9154761904761904,840,30,0.03571428571428571,10.0,0.0,0.0,1.0,0,0,0,,,840,0,840,1.0,423,423,1.0,30,30,,,1.0,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0
convex_control,12,euc_2d,validation,30,30,1.0,0,0.0,0.0,0.11351339317396876,0,0.0,0,0,0.0,0.0,0.11351339317396876,30,1.0,0.8864866068260312,0.9999999999999999,0,0.0,0.0,0.11351339317396876,0,,,,0,,,,0,,0,0,0.0,0.0,0.11351339317396876,30,28,1.0,0.8864866068260312,0.9999999999999999,30,1.0,0.9333333333333333,0.8864866068260312,0.9999999999999999,1.0,0.8864866068260312,0.9999999999999999,0,0.0,1.0,0.0,0.11351339317396876,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,27,0.9,35,79,0.9740740740740741,0.9414814814814815,1350,31,0.022962962962962963,12.0,0.0,0.0,1.0,0,0,0,,,1350,0,1350,1.0,664,664,1.0,30,30,,,1.0,1.0,1.0,0.9833333333333333,30,0.967741935483871,1.0,1.0,31,1.0,1.0,1.0,31,1.0
convex_control,12,euclidean_raw,validation,30,30,1.0,0,0.0,0.0,0.11351339317396876,0,0.0,0,0,0.0,0.0,0.11351339317396876,30,1.0,0.8864866068260312,0.9999999999999999,0,0.0,0.0,0.11351339317396876,0,,,,0,,,,0,,0,0,0.0,0.0,0.11351339317396876,30,28,1.0,0.8864866068260312,0.9999999999999999,30,1.0,0.9333333333333333,0.8864866068260312,0.9999999999999999,1.0,0.8864866068260312,0.9999999999999999,0,0.0,1.0,0.0,0.11351339317396876,,,,,,,0,0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,0,27,0.9,34,79,0.9748148148148148,0.9414814814814815,1350,30,0.022222222222222223,12.0,0.0,0.0,1.0,0,0,0,,,1350,0,1350,1.0,664,664,1.0,30,30,,,1.0,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0,1.0,1.0,30,1.0
corridor,8,euc_2d,validation,57,57,1.0,0,0.0,0.0,0.06313883485297894,4,0.07017543859649122,4,4,0.07017543859649122,0.027626420229066015,0.1670017009603369,44,0.7719298245614035,0.6479398895432649,0.8615810950103779,9,0.15789473684210525,0.0853579597035527,0.2736317694063802,4,1.0,0.5101091635454027,1.0,4,1.0,0.5101091635454027,1.0,0,0.0,4,0,0.07017543859649122,0.027626420229066015,0.1670017009603369,40,0,0.7017543859649122,0.5733571989653998,0.8046744992518191,40,0.9090909090909091,0.0,0.7884076083340138,0.9640778067726837,0.9090909090909091,0.7884076083340138,0.9640778067726837,13,0.22807017543859648,0.7719298245614035,0.13841890498962192,0.3520601104567349,1.0,1.0,0.0,0.5101091635454027,1.0,1.0,13,4,4,1.0,1.0,0.5101091635454027,1.0,4,1.0,1.0,0.5101091635454027,1.0,0,0.0,0.0,0.0,0.4898908364545973,0,0.0,0.0,0.4898908364545973,0.527129195498412,0,0.0,0.0,0.4898908364545973,0,27,0.47368421052631576,106,550,0.8403614457831325,0.17168674698795183,664,98,0.14759036144578314,4.649122807017544,3.3508771929824563,0.41885964912280704,2.245614035087719,5,5,40,1.0,0.125,632,27,624,0.9873417721518988,632,624,0.9873417721518988,57,57,1.0,0.10539215686274508,0.9867773551984079,0.9867773551984079,1.0,0.7513157894736842,57,0.5816326530612245,1.0,0.9732456140350877,89,0.9081632653061225,1.0,0.993421052631579,95,0.9693877551020408
corridor,8,euclidean_raw,validation,57,57,1.0,0,0.0,0.0,0.06313883485297894,2,0.03508771929824561,2,2,0.03508771929824561,0.009675664344932881,0.11920781367625805,55,0.9649122807017544,0.8807921863237419,0.9903243356550672,0,0.0,0.0,0.06313883485297894,2,1.0,0.34238022750665303,1.0,2,1.0,0.34238022750665303,1.0,0,0.0,2,0,0.03508771929824561,0.009675664344932881,0.11920781367625805,40,0,0.7017543859649122,0.5733571989653998,0.8046744992518191,40,0.7272727272727273,0.0,0.5976780188832919,0.8271924806089416,0.7272727272727273,0.5976780188832919,0.8271924806089416,15,0.2631578947368421,0.7368421052631579,0.16645786597973072,0.3897657926348382,1.0,1.0,0.0,0.34238022750665303,1.0,1.0,2,2,2,1.0,1.0,0.34238022750665303,1.0,2,1.0,1.0,0.34238022750665303,1.0,0,0.0,0.0,0.0,0.6576197724933469,0,0.0,0.0,0.6576197724933469,0.776393202250021,0,0.0,0.0,0.6576197724933469,0,46,0.8070175438596491,75,548,0.8870481927710844,0.17469879518072284,664,57,0.0858433734939759,4.649122807017544,3.3508771929824563,0.41885964912280704,2.245614035087719,5,5,27,1.0,0.18518518518518517,659,0,637,0.9666160849772383,659,637,0.9666160849772383,57,57,1.0,0.11764705882352941,0.9656095366621683,0.9656095366621683,1.0,1.0,57,1.0,1.0,1.0,57,1.0,1.0,1.0,57,1.0
corridor,10,euc_2d,validation,49,49,1.0,0,0.0,6.938893903907228e-18,0.07269781922049637,3,0.061224489795918366,3,3,0.061224489795918366,0.02104014667296747,0.16520487835726402,42,0.8571428571428571,0.7333229377608557,0.9290357627959323,4,0.08163265306122448,0.032202817667763686,0.19189127596571287,3,1.0,0.4385029682449546,1.0,3,1.0,0.4385029682449546,1.0,0,0.0,3,0,0.061224489795918366,0.02104014667296747,0.16520487835726402,40,0,0.8163265306122449,0.6864239739710013,0.9002365893792968,40,0.9523809523809523,0.0,0.8421014760304114,0.9868424750910944,0.9523809523809523,0.8421014760304114,0.9868424750910944,6,0.12244897959183673,0.8775510204081632,0.05734825790240154,0.2424439729375651,1.0,1.0,0.0,0.4385029682449546,1.0,1.0,7,3,3,1.0,1.0,0.4385029682449546,1.0,3,1.0,1.0,0.4385029682449546,1.0,0,0.0,0.0,5.551115123125783e-17,0.5614970317550454,0,0.0,5.551115123125783e-17,0.5614970317550454,0.6315968501359612,0,0.0,5.551115123125783e-17,0.5614970317550454,0,23,0.46938775510204084,105,965,0.9069148936170213,0.14450354609929073,1128,97,0.08599290780141844,5.020408163265306,4.979591836734694,0.4979591836734694,2.7142857142857144,4,4,15,1.0,0.26666666666666666,1118,6,1113,0.9955277280858676,1117,1113,0.9964189794091316,49,49,1.0,0.2962962962962963,0.9956650802613535,0.9964473931865236,1.0,0.7049319727891156,49,0.5051546391752577,1.0,0.951530612244898,85,0.8762886597938144,1.0,0.9923469387755102,94,0.9690721649484536
corridor,10,euclidean_raw,validation,49,49,1.0,0,0.0,6.938893903907228e-18,0.07269781922049637,5,0.10204081632653061,5,5,0.10204081632653061,0.04437954674476266,0.21756361549195893,44,0.8979591836734694,0.7824363845080409,0.9556204532552373,0,0.0,6.938893903907228e-18,0.07269781922049637,5,1.0,0.5655175352168251,1.0,5,1.0,0.5655175352168251,1.0,0,0.0,5,0,0.10204081632653061,0.04437954674476266,0.21756361549195893,38,0,0.7755102040816326,0.6412121276403999,0.869750298503408,38,0.8636363636363636,0.0,0.7329054695148456,0.9359704550244412,0.8636363636363636,0.7329054695148456,0.9359704550244412,6,0.12244897959183673,0.8775510204081632,0.05734825790240154,0.2424439729375651,1.0,1.0,0.0,0.5655175352168251,1.0,1.0,5,5,5,1.0,1.0,0.5655175352168251,1.0,5,1.0,1.0,0.5655175352168251,1.0,0,0.0,0.0,0.0,0.43448246478317476,0,0.0,0.0,0.43448246478317476,0.45071972834694096,0,0.0,0.0,0.43448246478317476,0,40,0.8163265306122449,61,962,0.9459219858156028,0.1471631205673759,1128,49,0.04343971631205674,5.020408163265306,4.979591836734694,0.4979591836734694,2.7142857142857144,7,7,17,1.0,0.4117647058823529,1121,0,1111,0.9910793933987511,1120,1111,0.9919642857142857,49,49,1.0,0.36363636363636365,0.9911469748825561,0.9919633014131682,1.0,1.0,49,1.0,1.0,1.0,49,1.0,1.0,1.0,49,1.0
