analysis_group,objective_mode,split,unit,stage,count,denominator,rate
mechanism_enriched,euc_2d,validation,instance,all_objective_instances,300,300,1.0
mechanism_enriched,euc_2d,validation,instance,threshold_applicable_q0_feasible,300,300,1.0
mechanism_enriched,euc_2d,validation,instance,mandatory_exception,26,300,0.08666666666666667
mechanism_enriched,euc_2d,validation,instance,mandatory_with_exact_q1_baseline_defeat,26,26,1.0
mechanism_enriched,euc_2d,validation,instance,mandatory_with_global_q1_explanation,26,26,1.0
mechanism_enriched,euc_2d,validation,instance,mandatory_with_exclusive_q1_explanation,26,26,1.0
mechanism_enriched,euc_2d,validation,instance,mandatory_with_shared_q1_explanation,0,26,0.0
mechanism_enriched,euc_2d,validation,instance,mandatory_metric_q_ge_2_required,0,26,0.0
mechanism_enriched,euc_2d,validation,instance,mandatory_topological_q0_infeasible,0,26,0.0
mechanism_enriched,euc_2d,validation,instance,safe_positive_certificate,7,300,0.023333333333333334
mechanism_enriched,euc_2d,validation,instance,unique_q1_minimizer_certificate,282,300,0.94
mechanism_enriched,euc_2d,validation,edge,all_nonbaseline_pairs,7900,7900,1.0
mechanism_enriched,euc_2d,validation,edge,basic_safe_A_candidate_pairs,1537,7900,0.19455696202531644
mechanism_enriched,euc_2d,validation,edge,safe_A_candidate_pairs,320,7900,0.04050632911392405
mechanism_enriched,euc_2d,validation,edge,exact_q1_minimizer_support,303,7900,0.03835443037974683
mechanism_enriched,euclidean_raw,validation,instance,all_objective_instances,300,300,1.0
mechanism_enriched,euclidean_raw,validation,instance,threshold_applicable_q0_feasible,300,300,1.0
mechanism_enriched,euclidean_raw,validation,instance,mandatory_exception,26,300,0.08666666666666667
mechanism_enriched,euclidean_raw,validation,instance,mandatory_with_exact_q1_baseline_defeat,26,26,1.0
mechanism_enriched,euclidean_raw,validation,instance,mandatory_with_global_q1_explanation,26,26,1.0
mechanism_enriched,euclidean_raw,validation,instance,mandatory_with_exclusive_q1_explanation,26,26,1.0
mechanism_enriched,euclidean_raw,validation,instance,mandatory_with_shared_q1_explanation,0,26,0.0
mechanism_enriched,euclidean_raw,validation,instance,mandatory_metric_q_ge_2_required,0,26,0.0
mechanism_enriched,euclidean_raw,validation,instance,mandatory_topological_q0_infeasible,0,26,0.0
mechanism_enriched,euclidean_raw,validation,instance,safe_positive_certificate,7,300,0.023333333333333334
mechanism_enriched,euclidean_raw,validation,instance,unique_q1_minimizer_certificate,285,300,0.95
mechanism_enriched,euclidean_raw,validation,edge,all_nonbaseline_pairs,7900,7900,1.0
mechanism_enriched,euclidean_raw,validation,edge,basic_safe_A_candidate_pairs,1531,7900,0.19379746835443037
mechanism_enriched,euclidean_raw,validation,edge,safe_A_candidate_pairs,317,7900,0.04012658227848101
mechanism_enriched,euclidean_raw,validation,edge,exact_q1_minimizer_support,300,7900,0.0379746835443038
natural_core,euc_2d,validation,instance,all_objective_instances,600,600,1.0
natural_core,euc_2d,validation,instance,threshold_applicable_q0_feasible,600,600,1.0
natural_core,euc_2d,validation,instance,mandatory_exception,50,600,0.08333333333333333
natural_core,euc_2d,validation,instance,mandatory_with_exact_q1_baseline_defeat,50,50,1.0
natural_core,euc_2d,validation,instance,mandatory_with_global_q1_explanation,50,50,1.0
natural_core,euc_2d,validation,instance,mandatory_with_exclusive_q1_explanation,50,50,1.0
natural_core,euc_2d,validation,instance,mandatory_with_shared_q1_explanation,0,50,0.0
natural_core,euc_2d,validation,instance,mandatory_metric_q_ge_2_required,0,50,0.0
natural_core,euc_2d,validation,instance,mandatory_topological_q0_infeasible,0,50,0.0
natural_core,euc_2d,validation,instance,safe_positive_certificate,46,600,0.07666666666666666
natural_core,euc_2d,validation,instance,unique_q1_minimizer_certificate,511,600,0.8516666666666667
natural_core,euc_2d,validation,edge,all_nonbaseline_pairs,15054,15054,1.0
natural_core,euc_2d,validation,edge,basic_safe_A_candidate_pairs,9494,15054,0.6306629467251229
natural_core,euc_2d,validation,edge,safe_A_candidate_pairs,748,15054,0.04968779062043311
natural_core,euc_2d,validation,edge,exact_q1_minimizer_support,722,15054,0.047960674903680084
natural_core,euclidean_raw,validation,instance,all_objective_instances,600,600,1.0
natural_core,euclidean_raw,validation,instance,threshold_applicable_q0_feasible,600,600,1.0
natural_core,euclidean_raw,validation,instance,mandatory_exception,51,600,0.085
natural_core,euclidean_raw,validation,instance,mandatory_with_exact_q1_baseline_defeat,51,51,1.0
natural_core,euclidean_raw,validation,instance,mandatory_with_global_q1_explanation,51,51,1.0
natural_core,euclidean_raw,validation,instance,mandatory_with_exclusive_q1_explanation,51,51,1.0
natural_core,euclidean_raw,validation,instance,mandatory_with_shared_q1_explanation,0,51,0.0
natural_core,euclidean_raw,validation,instance,mandatory_metric_q_ge_2_required,0,51,0.0
natural_core,euclidean_raw,validation,instance,mandatory_topological_q0_infeasible,0,51,0.0
natural_core,euclidean_raw,validation,instance,safe_positive_certificate,48,600,0.08
natural_core,euclidean_raw,validation,instance,unique_q1_minimizer_certificate,571,600,0.9516666666666667
natural_core,euclidean_raw,validation,edge,all_nonbaseline_pairs,15054,15054,1.0
natural_core,euclidean_raw,validation,edge,basic_safe_A_candidate_pairs,9475,15054,0.6294008237013419
natural_core,euclidean_raw,validation,edge,safe_A_candidate_pairs,644,15054,0.04277932775342102
natural_core,euclidean_raw,validation,edge,exact_q1_minimizer_support,600,15054,0.03985651654045436
negative_calibration,euc_2d,validation,instance,all_objective_instances,90,90,1.0
negative_calibration,euc_2d,validation,instance,threshold_applicable_q0_feasible,90,90,1.0
negative_calibration,euc_2d,validation,instance,mandatory_exception,0,90,0.0
negative_calibration,euc_2d,validation,instance,mandatory_with_exact_q1_baseline_defeat,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_with_global_q1_explanation,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_with_exclusive_q1_explanation,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_with_shared_q1_explanation,0,0,
negative_calibration,euc_2d,validation,instance,mandatory_metric_q_ge_2_required,0,0,
