"initial_scan_rank","edge_u","edge_v","closure_upper","safe_gain_lower","safe_kappa_lower","safe_threshold_crossed","status","anchors","initial_cost","kicked_cost","locked_cost","final_cost","escape_gain","target_survives_final","surviving_anchors","move_kind","move_pattern","immediate_barrier","added_edges","removed_edges"
"1","19","27","42232","-1.0","0.9859154929577465","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42185","42185","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","77","[[11,22],[19,27]]","[[11,19],[22,27]]"
"2","59","65","42235","-4.0","0.9884057971014493","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42216","42216","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","108","[[59,65],[60,163]]","[[59,163],[60,65]]"
"3","73","80","42238","-7.0","0.9","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42184","42184","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","76","[[68,74],[73,80]]","[[68,73],[74,80]]"
"4","18","25","42239","-8.0","0.953757225433526","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42368","42368","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","260","[[18,25],[23,24]]","[[18,23],[24,25]]"
"5","20","28","42240","-9.0","0.8571428571428571","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42155","42155","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","47","[[20,28],[21,102]]","[[20,102],[21,28]]"
"6","18","26","42241","-10.0","0.8591549295774648","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42166","42166","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","58","[[15,23],[18,26]]","[[15,18],[23,26]]"
"7","96","101","42242","-11.0","0.9266666666666666","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42119","42119","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","11","[[92,100],[96,101]]","[[92,101],[96,100]]"
"8","110","114","42242","-11.0","0.9261744966442953","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42344","42344","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","236","[[110,114],[111,115]]","[[110,111],[114,115]]"
"9","215","219","42242","-11.0","0.9261744966442953","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42344","42344","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","236","[[215,219],[216,220]]","[[215,216],[219,220]]"
"10","287","292","42244","-13.0","0.821917808219178","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42121","42121","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","13","[[287,292],[291,293]]","[[287,293],[291,292]]"
"11","17","25","42246","-15.0","0.7887323943661971","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42172","42172","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","64","[[16,24],[17,25]]","[[16,17],[24,25]]"
"12","19","29","42247","-16.0","0.8980891719745223","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42262","42262","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","3opt","y_then_reverse_x","154","[[19,29],[22,32],[28,31]]","[[19,22],[28,29],[31,32]]"
"13","72","79","42247","-16.0","0.7714285714285715","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42164","42164","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","56","[[72,79],[75,85]]","[[72,75],[79,85]]"
"14","68","80","42249","-18.0","0.859375","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42220","42220","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","112","[[68,80],[69,74]]","[[68,69],[74,80]]"
"15","201","206","42250","-19.0","0.8733333333333333","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42127","42127","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","19","[[99,205],[201,206]]","[[99,206],[201,205]]"
"16","306","311","42250","-19.0","0.8733333333333333","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42127","42127","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","19","[[204,310],[306,311]]","[[204,311],[306,310]]"
"17","65","171","42252","-21.0","0.9353846153846154","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42138","42138","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","30","[[60,64],[65,171]]","[[60,65],[64,171]]"
"18","281","293","42253","-22.0","0.8607594936708861","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42119","42119","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","3opt","reverse_x_reverse_y","11","[[281,293],[282,290],[289,295]]","[[281,282],[289,290],[293,295]]"
"19","14","28","42255","-24.0","0.8620689655172413","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42288","42288","42176","-68","False","[[4,110],[72,80],[88,98],[109,215]]","3opt","reverse_x_reverse_y","180","[[10,11],[14,28],[19,29]]","[[10,14],[11,19],[28,29]]"
"20","177","185","42255","-24.0","0.861271676300578","False","already_present","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","","","42108","0","True","[[4,110],[27,102],[72,80],[88,98],[109,215]]","","","","[]","[]"
"21","29","31","42256","-25.0","0.7282608695652174","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42133","42133","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","25","[[29,31],[30,32]]","[[29,30],[31,32]]"
"22","15","25","42257","-26.0","0.796875","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42222","42222","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","114","[[15,25],[18,24]]","[[15,18],[24,25]]"
"23","195","200","42258","-27.0","0.82","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42210","42210","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","102","[[195,200],[196,197]]","[[195,196],[197,200]]"
"24","300","305","42258","-27.0","0.82","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42135","42135","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","27","[[300,305],[301,302]]","[[300,302],[301,305]]"
"25","287","294","42259","-28.0","0.8120805369127517","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42136","42136","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","28","[[287,294],[292,293]]","[[287,293],[292,294]]"
"26","39","316","42261","-30.0","0.9164345403899722","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42138","42138","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","30","[[39,316],[48,315]]","[[39,315],[48,316]]"
"27","92","98","42261","-30.0","0.922879177377892","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42562","42562","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","454","[[92,98],[97,101]]","[[92,101],[97,98]]"
"28","105","110","42261","-30.0","0.8","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42215","42215","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","3opt","reverse_x_reverse_y","107","[[3,111],[105,110],[106,107]]","[[3,106],[105,107],[110,111]]"
"29","210","215","42261","-30.0","0.8","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42215","42215","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","3opt","reverse_x_reverse_y","107","[[108,216],[210,215],[211,212]]","[[108,211],[210,212],[215,216]]"
"30","38","144","42262","-31.0","0.9051987767584098","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42139","42139","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","31","[[34,37],[38,144]]","[[34,38],[37,144]]"
"31","281","288","42263","-32.0","0.5428571428571428","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42151","42151","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","43","[[281,288],[282,286]]","[[281,282],[286,288]]"
"32","177","184","42265","-34.0","0.5142857142857142","False","anchored_forced_relaxation","[[4,110],[27,102],[72,80],[88,98],[109,215]]","42108","42135","42135","42108","0","False","[[4,110],[27,102],[72,80],[88,98],[109,215]]","2opt","reverse_middle","27","[[177,184],[180,185]]","[[177,185],[180,184]]"
