"edge_u","edge_v","closure_upper","safe_gain_lower","safe_kappa_lower","safe_threshold_crossed","raw_closure_cost","strict_final_cost","strict_gain","two_opt_moves","three_opt_moves","target_survives","tour_sha256"
"4","106","42228","3.0","1.0136986301369864","True","42228","42125","103","4","1","False","121c9b1eb43674c083122328fd524de8cb480f034fb02f0cef6ed5820900cc6c"
"4","110","42207","24.0","1.1283422459893049","True","42207","42172","35","3","0","True","caac60f3928386ae50924cef5023fa2de7bed33704245ed60c97eb2e6978e0e2"
"13","115","42198","33.0","1.1493212669683257","True","42198","42151","47","4","0","False","7fcd7a2c7c5f07a38713c95022a5ee6f707c4dbf3b598533ed668e0db0813ed0"
"13","119","42186","45.0","1.1636363636363636","True","42186","42151","35","3","0","True","7fcd7a2c7c5f07a38713c95022a5ee6f707c4dbf3b598533ed668e0db0813ed0"
"15","26","42184","47.0","1.2554347826086956","True","42184","42125","59","5","0","True","121c9b1eb43674c083122328fd524de8cb480f034fb02f0cef6ed5820900cc6c"
"17","26","42219","12.0","1.069364161849711","True","42219","42160","59","5","0","True","820ad9f76c104b969d5e81fb6f7b27eca41ba40979a7e089f6d1a9d31f610579"
"27","102","42221","10.0","1.0714285714285714","True","42221","42162","59","5","0","True","d57b4f85d2ce31e40a37ab5c5ff93e71d6de4d886c99a7bd0e385f3b6464edc6"
"72","80","42220","11.0","1.0635838150289016","True","42220","42172","48","4","0","True","caac60f3928386ae50924cef5023fa2de7bed33704245ed60c97eb2e6978e0e2"
"88","98","42188","43.0","1.1299093655589123","True","42188","42118","70","6","0","True","8b99c9384be85a500613f6c8ea43605c994d41c3a2cafd315b86fc658063e0b1"
"109","211","42220","11.0","1.0502283105022832","True","42220","42172","48","4","0","False","caac60f3928386ae50924cef5023fa2de7bed33704245ed60c97eb2e6978e0e2"
"109","215","42207","24.0","1.1283422459893049","True","42207","42172","35","3","0","True","caac60f3928386ae50924cef5023fa2de7bed33704245ed60c97eb2e6978e0e2"
"118","220","42198","33.0","1.1493212669683257","True","42198","42151","47","4","0","False","32e897648d0614ea1c174408e86ed4b5aa1d2fdebe63f150ba4d1f57e3bb5fcc"
"118","224","42186","45.0","1.1636363636363636","True","42186","42151","35","3","0","True","32e897648d0614ea1c174408e86ed4b5aa1d2fdebe63f150ba4d1f57e3bb5fcc"
