"edge_u","edge_v","closure_upper","safe_gain_lower","safe_kappa_lower","safe_threshold_crossed","status","initial_cost","kicked_cost","locked_cost","final_cost","escape_gain","target_survives_final","move_kind","move_pattern","immediate_barrier","added_edges","removed_edges"
"4","106","42228","3.0","1.0136986301369864","True","forced_relaxation","42210","42369","42369","42210","0","False","2opt","reverse_middle","159","[[3,110],[4,106]]","[[3,4],[106,110]]"
"4","110","42207","24.0","1.1283422459893049","True","forced_relaxation","42210","42438","42438","42210","0","False","2opt","reverse_middle","228","[[3,111],[4,110]]","[[3,4],[110,111]]"
"13","115","42198","33.0","1.1493212669683257","True","forced_relaxation","42210","42222","42222","42210","0","False","2opt","reverse_middle","12","[[12,119],[13,115]]","[[12,115],[13,119]]"
"13","119","42186","45.0","1.1636363636363636","True","already_present","42210","","","42210","0","True","","","","[]","[]"
"15","26","42184","47.0","1.2554347826086956","True","already_present","42210","","","42210","0","True","","","","[]","[]"
"17","26","42219","12.0","1.069364161849711","True","forced_relaxation","42210","42257","42257","42210","0","False","2opt","reverse_middle","47","[[15,24],[17,26]]","[[15,26],[17,24]]"
"27","102","42221","10.0","1.0714285714285714","True","forced_relaxation","42210","42411","42411","42210","0","False","2opt","reverse_middle","201","[[20,22],[27,102]]","[[20,102],[22,27]]"
"72","80","42220","11.0","1.0635838150289016","True","forced_relaxation","42210","42267","42267","42210","0","False","3opt","reverse_x_reverse_y","57","[[71,78],[72,80],[76,79]]","[[71,72],[76,78],[79,80]]"
"88","98","42188","43.0","1.1299093655589123","True","forced_relaxation","42210","42653","42653","42210","0","False","2opt","reverse_middle","443","[[88,98],[89,97]]","[[88,89],[97,98]]"
"109","211","42220","11.0","1.0502283105022832","True","forced_relaxation","42210","42369","42369","42210","0","False","2opt","reverse_middle","159","[[108,215],[109,211]]","[[108,109],[211,215]]"
"109","215","42207","24.0","1.1283422459893049","True","forced_relaxation","42210","42438","42438","42210","0","False","2opt","reverse_middle","228","[[108,216],[109,215]]","[[108,109],[215,216]]"
"118","220","42198","33.0","1.1493212669683257","True","forced_relaxation","42210","42222","42222","42210","0","False","2opt","reverse_middle","12","[[117,224],[118,220]]","[[117,220],[118,224]]"
"118","224","42186","45.0","1.1636363636363636","True","already_present","42210","","","42210","0","True","","","","[]","[]"
