"edge_u","edge_v","closure_upper","safe_gain_lower","safe_kappa_lower","safe_threshold_crossed","status","initial_cost","kicked_cost","locked_cost","final_cost","escape_gain","target_survives_final","move_kind","move_pattern","immediate_barrier","added_edges","removed_edges"
"4","106","42228","3.0","1.0136986301369864","True","forced_relaxation","42118","42131","42131","42118","0","False","2opt","reverse_middle","13","[[3,110],[4,106]]","[[3,106],[4,110]]"
"4","110","42207","24.0","1.1283422459893049","True","already_present","42118","","","42118","0","True","","","","[]","[]"
"13","115","42198","33.0","1.1493212669683257","True","forced_relaxation","42118","42407","42407","42118","0","False","2opt","reverse_middle","289","[[12,114],[13,115]]","[[12,13],[114,115]]"
"13","119","42186","45.0","1.1636363636363636","True","forced_relaxation","42118","42481","42481","42118","0","False","3opt","reverse_y_then_x","363","[[12,125],[13,119],[116,207]]","[[12,13],[116,119],[125,207]]"
"15","26","42184","47.0","1.2554347826086956","True","forced_relaxation","42118","42370","42349","42221","-103","False","3opt","y_then_x","252","[[11,23],[15,26],[18,19]]","[[11,19],[15,18],[23,26]]"
"17","26","42219","12.0","1.069364161849711","True","forced_relaxation","42118","42378","42378","42118","0","False","2opt","reverse_middle","260","[[17,26],[23,24]]","[[17,24],[23,26]]"
"27","102","42221","10.0","1.0714285714285714","True","forced_relaxation","42118","42195","42195","42108","10","True","3opt","y_then_reverse_x","77","[[11,14],[20,29],[27,102]]","[[11,102],[14,20],[27,29]]"
"72","80","42220","11.0","1.0635838150289016","True","already_present","42118","","","42118","0","True","","","","[]","[]"
"109","211","42220","11.0","1.0502283105022832","True","forced_relaxation","42118","42131","42131","42118","0","False","2opt","reverse_middle","13","[[108,215],[109,211]]","[[108,211],[109,215]]"
"109","215","42207","24.0","1.1283422459893049","True","already_present","42118","","","42118","0","True","","","","[]","[]"
"118","220","42198","33.0","1.1493212669683257","True","forced_relaxation","42118","42407","42407","42118","0","False","2opt","reverse_middle","289","[[117,219],[118,220]]","[[117,118],[219,220]]"
"118","224","42186","45.0","1.1636363636363636","True","forced_relaxation","42118","42481","42481","42118","0","False","3opt","reverse_y_then_x","363","[[117,230],[118,224],[221,312]]","[[117,118],[221,224],[230,312]]"
