forced_edge_u,forced_edge_v,forced_edge_node_u,forced_edge_node_v,status,forced_edge_cost,closure_upper,path_upper,declared_baseline_cycle_lower_bound,safe_gain_lower,safe_kappa_lower,safe_threshold_crossed,lkh_returncode,lkh_wall_seconds,hamiltonicity_verified,forced_edge_verified,baseline_path_membership_verified,objective_recomputed_independently,exact_hamiltonian_path_solved,exact_kappa_computed,resumed,error,task_key
0,6,1,7,verified_closure_witness,181,42381,42200,42231.0,-150.0,0.1712707182320442,False,0,0.5672836999874562,True,True,True,True,False,False,False,,9b31e01f6bc92c160e0bbc23d7cbb05e2fb51fbd8cad5392e8ea90799d06de95
0,9,1,10,verified_closure_witness,299,42421,42122,42231.0,-190.0,0.36454849498327757,False,0,1.4664586000144482,True,True,True,True,False,False,False,,370d3a4a91b5bfb3ce4e08c36ba24685af4fefb5f2db7c76aced49103f159b10
0,10,1,11,verified_closure_witness,331,42518,42187,42231.0,-287.0,0.13293051359516617,False,0,2.173848900012672,True,True,True,True,False,False,False,,9bfeae7bd6c7c02a96747af0b2943226611002198bbca18f2d0bc633fb638c6a
1,6,2,7,verified_closure_witness,150,42381,42231,42231.0,-150.0,0.0,False,0,0.5448773000389338,True,True,True,True,False,False,False,,9abb010440ee4eccf2bd9e58090b4e4d976746bbf349d855b9b597d60c743b0a
1,9,2,10,verified_closure_witness,268,42421,42153,42231.0,-190.0,0.291044776119403,False,0,1.0567485999781638,True,True,True,True,False,False,False,,7fdad6c8e5269443ba6e075a10869408b3e12e9f6ef3eb0f8a91953bf78cda4a
1,10,2,11,verified_closure_witness,300,42518,42218,42231.0,-287.0,0.043333333333333335,False,0,1.3076504999771714,True,True,True,True,False,False,False,,7056d08aedf0deec9bcf7c81242f50af43d8048c8cd9479b0d2c9aaf961d290e
3,114,4,115,verified_closure_witness,226,42289,42063,42231.0,-58.0,0.7433628318584071,False,0,1.009216499980539,True,True,True,True,False,False,False,,5a89fb4bf3e2a2b61c6a4bb33be95f8ff3c8e571d160a70bfc5a36db36749f6a
3,115,4,116,verified_closure_witness,253,42336,42083,42231.0,-105.0,0.5849802371541502,False,0,0.4103953999001533,True,True,True,True,False,False,False,,97100ef15aea7e0ffbc4508203eb4e7d9a4c180fb537017466e1550ea87d150f
4,106,5,107,verified_closure_witness,219,42228,42009,42231.0,3.0,1.0136986301369864,True,0,0.9313713998999447,True,True,True,True,False,False,False,,92a9e0768a161d083011bc332d8bf39ab28760a9ee309bb45b774d525760936b
4,110,5,111,verified_closure_witness,187,42207,42020,42231.0,24.0,1.1283422459893049,True,0,0.6375931000802666,True,True,True,True,False,False,False,,8b2eed3ec529a4d3fd0254f185be6dce1893f8fd807a4105dad3fdcd4f11ab3d
5,9,6,10,verified_closure_witness,149,42618,42469,42231.0,-387.0,-1.5973154362416107,False,0,2.213915500091389,True,True,True,True,False,False,False,,61e475c7f1c427c3cb2cf751f31278b8cdef15e6bec294184ded18a673587391
