baseline,iteration,solver_status,objective_incumbent,solver_lower_bound,component_count,component_sizes,cuts_before,cuts_added
fixed_delaunay,1,0,40522.0,40522.0,30,"[3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,7,8,9,10,10,11,11,12,12,12,12,15,15,30,80]",0,30
fixed_delaunay,2,0,41182.0,41182.0,22,"[3,3,3,4,4,4,5,5,5,6,8,8,8,10,11,11,15,24,28,29,45,79]",30,22
fixed_delaunay,3,0,41524.0,41524.0,15,"[5,6,6,8,9,11,12,12,15,15,23,31,32,54,79]",52,15
fixed_delaunay,4,0,41727.0,41727.0,15,"[3,4,5,8,8,10,11,12,15,15,31,32,33,51,80]",67,15
fixed_delaunay,5,0,41811.0,41811.0,11,"[4,5,9,11,18,27,29,34,46,59,76]",82,11
fixed_delaunay,6,0,41935.00000000001,41935.00000000001,7,"[11,24,35,47,55,58,88]",93,7
fixed_delaunay,7,0,41953.99999997229,41953.99999997229,5,"[4,24,39,95,156]",100,5
fixed_delaunay,8,0,42002.99999999995,42002.99999999995,7,"[3,18,18,31,37,88,123]",105,7
fixed_delaunay,9,0,42105.000000000735,42105.000000000735,5,"[3,8,90,103,114]",112,5
fixed_delaunay,10,0,42153.99999999532,42153.99999999532,6,"[3,4,5,55,101,150]",117,6
fixed_delaunay,11,0,42200.99999999049,42200.99999999049,4,"[7,8,147,156]",123,4
fixed_delaunay,12,0,42220.000000000015,42220.000000000015,3,"[40,124,154]",127,3
fixed_delaunay,13,0,42238.99999999999,42238.99999999999,1,[318],130,0
weak_delaunay_union,1,0,40522.0,40522.0,30,"[3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,7,8,9,10,10,11,11,12,12,12,12,15,15,30,80]",0,30
weak_delaunay_union,2,0,41182.0,41182.0,22,"[3,3,3,4,4,4,5,5,5,6,8,8,8,10,11,11,15,24,28,29,45,79]",30,22
weak_delaunay_union,3,0,41524.0,41524.0,15,"[5,6,6,8,9,11,12,12,15,15,23,31,32,54,79]",52,15
weak_delaunay_union,4,0,41727.0,41727.0,15,"[3,4,5,8,8,10,11,12,15,15,31,32,33,51,80]",67,15
weak_delaunay_union,5,0,41811.0,41811.0,11,"[4,5,9,11,18,27,29,34,46,59,76]",82,11
weak_delaunay_union,6,0,41934.99999999706,41934.99999999706,7,"[11,24,35,47,55,58,88]",93,7
weak_delaunay_union,7,0,41954.0,41954.0,5,"[4,24,39,95,156]",100,5
weak_delaunay_union,8,0,42002.99999998906,42002.99999998906,7,"[3,18,18,31,37,88,123]",105,7
weak_delaunay_union,9,0,42104.99999999996,42104.99999999996,5,"[3,8,90,103,114]",112,5
weak_delaunay_union,10,0,42150.0,42150.0,6,"[3,4,8,55,101,147]",117,6
weak_delaunay_union,11,0,42174.0000000013,42174.000000001295,4,"[4,5,153,156]",123,4
weak_delaunay_union,12,0,42215.99999999962,42215.99999999962,5,"[5,40,45,104,124]",127,5
weak_delaunay_union,13,0,42219.000000017884,42219.000000017884,2,"[154,164]",132,1
weak_delaunay_union,14,0,42231.00000006984,42231.00000006984,3,"[5,156,157]",133,3
weak_delaunay_union,15,0,42231.000000008535,42231.000000008535,1,[318],136,0
