condition_id,family,best_tour_cost,objective_gap_absolute,objective_gap_relative,official_optimum_hit,actual_nonbaseline_edge_count,actual_last_solved_edge_count,total_wall_seconds,final_layer_solver_status,termination_reason,execution_success,solution_seal_valid,evaluator_ready,error
weak_only,baseline,,,,,,988,60.04466925599999,no_cycle_found,completed_fixed_schedule,True,True,False,
static_local_b128,static,,,,,,1118,60.10883717600001,no_cycle_found,completed_fixed_schedule,True,True,False,
static_local_b256,static,,,,,,1246,60.05405720799996,no_cycle_found,completed_fixed_schedule,True,True,False,
static_local_b512,static,,,,,,1500,60.049033183999995,no_cycle_found,completed_fixed_schedule,True,True,False,
static_local_b1024,static,,,,,,2012,60.11675539199996,no_cycle_found,completed_fixed_schedule,True,True,False,
static_nearest_b512,equal_edge_control,,,,,,1500,60.05347621499999,no_cycle_found,completed_fixed_schedule,True,True,False,
static_stretch_b512,equal_edge_control,,,,,,1500,60.09347767199995,no_cycle_found,completed_fixed_schedule,True,True,False,
static_shortest_b512,equal_edge_control,,,,,,1501,60.07969962499999,no_cycle_found,completed_fixed_schedule,True,True,False,
atomic_only,atomic,,,,,,988,25.576916546000007,no_cycle_found,no_feasible_cycle_for_atomic_feedback,True,True,False,
hybrid_local_b512,hybrid,,,,,,1500,27.704710266999996,no_cycle_found,no_feasible_cycle_for_atomic_feedback,True,True,False,
knn_k3,knn,,,,,,1118,60.06325837899999,no_cycle_found,completed_fixed_schedule,True,True,False,
knn_k5,knn,,,,,,1327,60.08323859300003,no_cycle_found,completed_fixed_schedule,True,True,False,
knn_k7,knn,,,,,,1614,60.12051103399995,no_cycle_found,completed_fixed_schedule,True,True,False,
knn_k10,knn,,,,,,2102,60.057848676999924,no_cycle_found,completed_fixed_schedule,True,True,False,
complete_graph,full,,,,,,50403,60.80033629800005,no_cycle_found,completed_fixed_schedule,True,True,False,
